"Date","y*(t)","y*(t-1)","y*(t-2)","g(t)","g(t-1)","g(t-2)","z(t)","z(t-1)","z(t-2)"
1972-10-01,857.854977365563,856.949718899197,856.520866836869,0.834595312504538,0.840407580363719,0.844375145268575,-0.415675229232662,-0.400482244885013,-0.388922005499538
1973-01-01,859.318244914819,857.854977365563,856.949718899197,0.824518357544978,0.834595312504538,0.84040758036372,-0.433132157528152,-0.415675229232662,-0.400482244885012
1973-04-01,860.179998626134,859.318244914819,857.854977365563,0.814519009008726,0.824518357544978,0.834595312504538,-0.449924180979967,-0.433132157528149,-0.41567522923266
1973-07-01,860.255886458788,860.179998626134,859.318244914819,0.808335612096371,0.814519009008726,0.824518357544978,-0.466947050822909,-0.449924180979962,-0.433132157528144
1973-10-01,861.567637922328,860.255886458788,860.179998626134,0.799506250440814,0.808335612096371,0.814519009008726,-0.483921944210613,-0.466947050822906,-0.449924180979962
1974-01-01,861.788418539967,861.567637922328,860.255886458788,0.794241607296,0.799506250440814,0.808335612096371,-0.499686647563791,-0.48392194421061,-0.466947050822903
1974-04-01,862.872551092826,861.788418539967,861.567637922328,0.788223756848684,0.794241607296,0.799506250440814,-0.513559391189186,-0.499686647563793,-0.483921944210611
1974-07-01,863.208007618469,862.872551092826,861.788418539967,0.785827298260106,0.788223756848684,0.794241607296,-0.524470835828853,-0.513559391189172,-0.499686647563785
1974-10-01,864.013512962912,863.208007618469,862.872551092826,0.784665929485231,0.785827298260106,0.788223756848684,-0.532141529821812,-0.524470835828846,-0.513559391189157
1975-01-01,864.016778734972,864.013512962912,863.208007618469,0.788484337770451,0.784665929485231,0.785827298260105,-0.537774929194113,-0.532141529821805,-0.524470835828846
1975-04-01,864.816575759047,864.016778734972,864.013512962912,0.792082660952176,0.78848433777045,0.784665929485231,-0.543795923248665,-0.537774929194101,-0.532141529821793
1975-07-01,865.824793111314,864.816575759047,864.016778734972,0.794462524152432,0.792082660952176,0.78848433777045,-0.549995830593239,-0.543795923248656,-0.537774929194092
1975-10-01,866.445445425177,865.824793111314,864.816575759047,0.79756536922013,0.794462524152432,0.792082660952176,-0.556673429731966,-0.549995830593236,-0.543795923248645
1976-01-01,867.762838305303,866.445445425177,865.824793111314,0.798133048105138,0.79756536922013,0.794462524152432,-0.562824656356959,-0.556673429731981,-0.549995830593236
1976-04-01,868.227381895967,867.762838305303,866.445445425177,0.801346456641143,0.798133048105137,0.79756536922013,-0.566848349983705,-0.562824656356952,-0.556673429731975
1976-07-01,868.746988734944,868.227381895967,867.762838305303,0.806620879348845,0.801346456641143,0.798133048105137,-0.569494993936799,-0.5668483499837,-0.562824656356947
1976-10-01,869.387198953927,868.746988734944,868.227381895967,0.812862588205618,0.806620879348845,0.801346456641142,-0.57193336061345,-0.569494993936796,-0.56684834998371
1977-01-01,870.205640913336,869.387198953927,868.746988734944,0.818635895429104,0.812862588205618,0.806620879348844,-0.575433649292534,-0.571933360613455,-0.569494993936795
1977-04-01,871.414161335061,870.205640913336,869.387198953927,0.821955226929718,0.818635895429104,0.812862588205618,-0.579876135486424,-0.57543364929253,-0.571933360613451
1977-07-01,872.633558618429,871.414161335061,870.205640913336,0.82377339528757,0.821955226929718,0.818635895429104,-0.582858414879105,-0.579876135486421,-0.575433649292528
1977-10-01,872.813196446367,872.633558618429,871.414161335061,0.829596379129866,0.82377339528757,0.821955226929718,-0.584403714032693,-0.582858414879097,-0.579876135486413
