"Date","y*(t)","y*(t-1)","y*(t-2)","g(t)","g(t-1)","g(t-2)","z(t)","z(t-1)","z(t-2)"
1965-04-01,829.864283113539,828.86478557114,827.097386420939,1.05367284302999,1.05367284302999,1.05401078023478,-0.0264384238574815,-0.0264384238574815,-0.0263148789670058
1965-07-01,831.785168744095,830.180041895146,829.259785268965,1.11229390968179,1.11229390968179,1.10921969349873,-0.0238027635081532,-0.0238027635081532,-0.0249266519000068
1965-10-01,833.637831553264,832.044189855434,830.509380401621,1.16226100914067,1.16226100914067,1.15957012265853,-0.0195371601626976,-0.0195371601626976,-0.0205209088325981
1966-01-01,835.446185694634,833.777920057819,832.265549981499,1.21104066834099,1.21104066834099,1.20818856921086,0.00484227988905777,0.00484227988905777,0.00379959423720808
1966-04-01,835.476667166843,834.87237363985,833.128332900936,1.14406500252764,1.14406500252764,1.14743201409084,0.0397268389273311,0.0397268389273311,0.0409577690200074
1966-07-01,836.481924386702,835.382377447322,834.775249815317,1.13807929396635,1.13807929396635,1.13831965287624,0.0509819751398251,0.0509819751398251,0.0510698468354444
1966-10-01,837.463515709994,836.389285191241,835.283382206779,1.13050144912583,1.13050144912583,1.13085245854708,0.0604794726200182,0.0604794726200182,0.0606077965212952
1967-01-01,838.854471797556,837.764677372312,836.667875693029,1.1330760137669,1.1330760137669,1.13334599766867,0.00391837984152378,0.00391837984152378,0.00401708200009764
1967-04-01,839.245708357694,838.637923323674,837.467500208266,1.08274537236053,1.08274537236053,1.08570810200399,-0.0102999322332444,-0.0102999322332444,-0.00921680168672293
1967-07-01,840.194846569504,839.096926953822,838.499265508552,1.08116643749926,1.08116643749926,1.08106193374681,0.0186973885879773,0.0186973885879773,0.0186591835473109
1967-10-01,840.867475984713,839.98421782793,838.862370737946,1.05987665957839,1.05987665957839,1.06097837867276,0.03775722056866,0.03775722056866,0.0381599929267199
1968-01-01,842.464106286792,840.920611274369,840.118727896108,1.10298362699206,1.10298362699206,1.100235784626,0.0792481568128779,0.0792481568128779,0.0782435859063546
1968-04-01,843.705331493398,842.469084042598,840.948460879532,1.114666595769,1.114666595769,1.1139081930684,0.0927984895166028,0.0927984895166028,0.0925212286016898
1968-07-01,844.454401700213,843.639723755465,842.354701890463,1.08739437022144,1.08739437022144,1.0890955333982,0.0728160643587193,0.0728160643587193,0.0734379846900049
1968-10-01,845.037823913764,844.308197961424,843.438690643309,1.05367414247805,1.05367414247805,1.05569550531896,0.0627653050048034,0.0627653050048034,0.0635042856416048
1969-01-01,846.700862709955,845.313257692677,844.628097952121,1.08759341831172,1.08759341831172,1.08572199203486,0.0426802218841859,0.0426802218841859,0.0419960558582695
1969-04-01,847.102005989288,846.474762728957,845.018499903966,1.04361444785566,1.04361444785566,1.04621170737479,0.0378589346603884,0.0378589346603884,0.0388084546844704
1969-07-01,848.122811032832,847.153679437593,846.51113573777,1.03804812226101,1.03804812226101,1.03847801297198,0.0175910834326907,0.0175910834326907,0.0177482451776872
1969-10-01,848.269577378915,847.869060650167,846.802112882577,0.978247623542841,0.978247623542841,0.981851420133366,-0.00220349237475951,-0.00220349237475951,-0.000885997145566204
1970-01-01,848.959556951468,848.267024164619,847.817459137903,0.953369068754237,0.953369068754237,0.954996125420036,-0.0366291131157255,-0.0366291131157255,-0.0360342850390095
1970-04-01,849.698105149907,848.906235352693,848.188434743917,0.938413690212544,0.938413690212544,0.939327808510022,-0.0442707197613227,-0.0442707197613227,-0.0439365315058004
1970-07-01,850.921675489983,849.811861405523,849.044127222602,0.955258602055225,0.955258602055225,0.954294508693496,-0.0496444465801943,-0.0496444465801943,-0.0499969049869521
1970-10-01,850.077890207746,850.173837518082,848.918343245559,0.851123384672634,0.851123384672634,0.857031066211588,-0.00373906345941081,-0.00373906345941081,-0.00157930165053694
1971-01-01,852.606794162792,850.626706036629,850.890874261218,0.958660063663991,0.958660063663991,0.952288552286868,0.00820994945583067,0.00820994945583067,0.00588061825434674
1971-04-01,852.904371841839,852.492035160338,850.42361459824,0.909145150542133,0.909145150542133,0.91224416546934,-0.0350535544942873,-0.0350535544942873,-0.0339206000449355
1971-07-01,853.732369197966,853.067259060293,852.605655178631,0.890592425746783,0.890592425746783,0.891998949628933,-0.108682608276361,-0.108682608276361,-0.10816840375401
1971-10-01,854.414017496449,854.02995619314,853.264554230076,0.851367236010559,0.851367236010559,0.85428221864724,-0.253205702020632,-0.253205702020632,-0.25214002708018
1972-01-01,855.698001676131,854.392590137671,854.087152810732,0.890623320489334,0.890623320489334,0.88803593529117,-0.185663515414473,-0.185663515414473,-0.186609425531495
1972-04-01,857.574423142974,856.200177218303,854.954611542901,0.941118047604872,0.941118047604872,0.938416262429981,-0.250991824539708,-0.250991824539708,-0.251979557611986
1972-07-01,858.079277185347,857.441120853307,856.021161566852,0.912471735587211,0.912471735587211,0.914182872943614,-0.257797940818455,-0.257797940818455,-0.257172374073239
