Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations,inflation.long
1961-04-01,3.01031297127587,2.08369554311528,3.36384718249443,-0.525005206038076,1.28015163937914,-0.112915026121717
1961-07-01,3.03205295791228,1.57643078625302,2.84817048808208,-0.873306820549997,1.27173970182906,-0.795166760842836
1961-10-01,3.04805329925872,2.9360233115774,2.94553377311397,0.640967085264588,0.00951046153657217,-0.540887994335724
1962-01-01,3.0741644432624,3.47298829910411,3.47918025559968,0.782112767305763,0.00619195649556953,1.47454445758071
1962-04-01,3.07930584276282,3.68080614094681,4.52650224683748,2.83301139154235,0.845696105890675,3.15422064885338
1962-07-01,3.09457331489361,4.63263142393426,6.09224094499103,1.5823468401144,1.45960952105677,1.62816261268563
1962-10-01,3.11457398160028,2.58980576119495,4.49118639582269,2.40805153954846,1.90138063462774,1.55898799498631
1963-01-01,3.11951226324086,2.24220228732156,4.13868168856417,0.762507833765251,1.89647940124261,1.29145773494653
1963-04-01,3.13418245298866,2.73953192438085,3.7873629212928,-0.561582225780321,1.04783099691195,-0.418249178735582
1963-07-01,3.14384436390039,2.11085564010657,3.9628743114267,4.79909753774715,1.85201867132014,4.82531089219427
1963-10-01,3.17228229922093,2.47331111111298,4.13868168856417,1.66145916407268,1.66537057745119,1.17459317095447
1964-01-01,3.19993383055144,2.27758275818726,4.13868168856417,1.54542124546813,1.86109893037691,1.89752209294686
1964-04-01,3.19993383055144,1.67667808545658,4.13868168856417,1.84203646514243,2.4620036031076,1.8776209546564
1964-07-01,3.21347805565919,2.51969664739794,4.13868168856417,1.42702328998169,1.61898504116623,1.35651366748939
1964-10-01,3.21795233605411,2.67377871813622,4.31478555049183,1.74954632883018,1.64100683235561,1.63680026591357
1965-01-01,3.24872399472087,2.57500539178765,4.40294881903431,2.29316762503234,1.82794342724666,2.46780259196866
1965-04-01,3.25734473776477,2.19951068036956,4.40294881903431,3.3440153108148,2.20343813866475,3.29575267118077
1965-07-01,3.27013808922468,2.01858261678159,4.40294881903431,2.15073554433356,2.38436620225272,1.99611311393758
1965-10-01,3.29524401035576,1.78199010853516,4.57949834332376,3.40211445897373,2.79750823478861,3.56633046269076
1966-01-01,3.31569462082705,1.55587701296519,5.11093531735594,5.3233679034409,3.55505830439075,5.40558931571546
1966-04-01,3.3357353717105,1.57201697736703,5.46672198534599,4.70260212516766,3.89470500797896,4.57281411432553
1966-07-01,3.3357353717105,1.61104985070325,5.46672198534599,1.99460405098869,3.85567213464274,1.76611385178005
1966-10-01,3.3475698293575,1.79927952315395,5.46672198534599,2.64919576917092,3.66744246219204,3.04647139194744
1967-01-01,3.34364055121761,2.22945392924897,5.28867878094328,2.89049746144996,3.05922485169431,2.86695437362082
