Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations
1971-01-01,13.8748898220356,1.7130403212939,6.82994948040287,6.29429893504555,5.11690915910897
1971-04-01,13.8876186263839,0.541814712594228,6.20555413981709,6.28745717614312,5.66373942722287
1971-07-01,13.9030941657746,0.610575771720427,6.51561616679959,5.73813256729658,5.90504039507916
1971-10-01,13.9110164128022,0.118703086525635,6.27791283606167,6.3169503196589,6.15920974953604
1972-01-01,13.9257258258516,-0.782881831880275,5.2494793555971,5.7869046868109,6.03236118747737
1972-04-01,13.9324367086466,-0.830483556204322,4.93740363497179,5.22956119093809,5.76788719117611
1972-07-01,13.9460177545392,-1.308472003554,5.04773038735815,8.09139336624073,6.35620239091215
1972-10-01,13.9605499067683,-0.199861329628716,6.69785237117395,8.48299555922096,6.89771370080267
1973-01-01,13.9796193523549,-0.176323564486459,7.12759112778667,7.41170865269274,7.30391469227313
1973-04-01,13.991671384141,0.727932290858844,8.98310982210064,9.03461254681277,8.2551775312418
1973-07-01,14.0053104414871,2.39104266606176,10.9063030806305,9.13172489954828,8.51526041456869
1973-10-01,14.0161772828294,2.78606185886078,11.8901703467311,10.8383878524276,9.10410848787035
1974-01-01,14.0260294329759,1.67714647312529,12.0540340775194,12.5028251187878,10.3768876043941
1974-04-01,14.0278372681115,1.07144619980568,12.3252828200997,12.5424086104126,11.2538366202941
1974-07-01,14.0346265811594,0.253895494237561,12.3920923289741,12.6691657573183,12.1381968347366
1974-10-01,14.0185640627538,-1.32806297633945,11.4117184377553,13.2447261698601,12.7397814140947
1975-01-01,14.0091870138042,-1.61270385307132,9.34661136070132,5.3809603174995,10.9593152137726
1975-04-01,14.0143369588064,-2.64550612511121,7.41461030315249,8.94561346837686,10.0601164282637
1975-07-01,14.0232301559696,-2.2257482900611,6.68426864545801,8.06876778633996,8.91001693551911
1975-10-01,14.0337415802381,-0.668141462782462,6.91875138017726,7.95222979962255,7.58689284295972
1976-01-01,14.0499370195177,-1.28849411507897,7.35524181821468,9.60833267883522,8.64373593329365
1976-04-01,14.0627152300925,-0.0760322573467533,9.07415498177109,10.9714186916736,9.15018723911784
1976-07-01,14.0710981088169,0.879635885119153,9.94070581731741,7.71229855866161,9.06106993219825
1976-10-01,14.0870320669182,-0.0909591768322819,9.78167269338355,11.1984775516929,9.87263187021583
1977-01-01,14.0911459491441,1.0249375091978,10.9099361597965,9.65779980036671,9.8849986505987
1977-04-01,14.0924924154629,0.483471607620235,9.96670044109542,9.36433942317957,9.48322883347519
1977-07-01,14.0932779458306,-0.289614841895403,9.55135307613071,9.14325489686531,9.84096791802611
1977-10-01,14.1051683168127,0.859931264532175,9.69733786528055,7.18423228258192,8.83740660074838
