"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"",812.179795663357,811.078450176931,810.111904155551,1.04982259652795,1.0509518296572,1.05129057215964,-0.0760732687136997,-0.0699745617178119,-0.0648896755881041
"xi.tT",813.392109364554,812.179795663357,811.078450176931,1.0474325062161,1.04982259652795,1.0509518296572,-0.0831408441167982,-0.0760732687136996,-0.0699745617178118
"xi.tT",814.537424831286,813.392109364554,812.179795663357,1.04426143305755,1.04743250621611,1.04982259652795,-0.0908439727693101,-0.0831408441167983,-0.0760732687136999
"xi.tT",815.688229852706,814.537424831286,813.392109364554,1.04047501545032,1.04426143305755,1.0474325062161,-0.0986708782537835,-0.0908439727693086,-0.0831408441167969
"xi.tT",816.848563264984,815.688229852706,814.537424831286,1.0365213496122,1.04047501545033,1.04426143305755,-0.105366671056821,-0.0986708782537835,-0.0908439727693091
"xi.tT",817.575774227671,816.848563264984,815.688229852706,1.03485081555439,1.0365213496122,1.04047501545033,-0.110501224978613,-0.105366671056821,-0.0986708782537837
"xi.tT",818.664361250225,817.575774227671,816.848563264984,1.03370538466959,1.03485081555439,1.0365213496122,-0.113676610551529,-0.110501224978612,-0.10536667105682
"xi.tT",819.194258085327,818.664361250225,817.575774227671,1.03591985087902,1.03370538466959,1.03485081555439,-0.115177468554495,-0.113676610551529,-0.110501224978612
"xi.tT",820.215190988835,819.194258085327,818.664361250225,1.03840940036293,1.03591985087902,1.03370538466959,-0.116204730502244,-0.115177468554496,-0.11367661055153
"xi.tT",821.120892038357,820.215190988835,819.194258085327,1.04140490708164,1.03840940036293,1.03591985087902,-0.117708168427944,-0.116204730502243,-0.115177468554496
"xi.tT",822.717071174878,821.120892038357,820.215190988835,1.04159012994193,1.04140490708164,1.03840940036293,-0.118903157695239,-0.117708168427944,-0.116204730502243
"xi.tT",823.284357696488,822.717071174878,821.120892038357,1.04436246539026,1.04159012994193,1.04140490708164,-0.119915499653564,-0.118903157695239,-0.117708168427944
"xi.tT",824.864721857235,823.284357696488,822.717071174878,1.04418442217897,1.04436246539026,1.04159012994193,-0.121198929702181,-0.119915499653564,-0.11890315769524
"xi.tT",825.75890603851,824.864721857235,823.284357696488,1.04500589503143,1.04418442217897,1.04436246539026,-0.121985818538404,-0.121198929702181,-0.119915499653563
"xi.tT",827.071875378428,825.75890603851,824.864721857235,1.04477855983404,1.04500589503143,1.04418442217897,-0.121876995746368,-0.121985818538404,-0.12119892970218
"xi.tT",827.492991300485,827.071875378428,825.75890603851,1.04758399020111,1.04477855983404,1.04500589503143,-0.122420976930682,-0.121876995746368,-0.121985818538403
"xi.tT",829.247652065516,827.492991300485,827.071875378428,1.04591185259947,1.04758399020111,1.04477855983404,-0.124739379887483,-0.122420976930682,-0.121876995746368
"xi.tT",830.108198937304,829.247652065516,827.492991300485,1.04447568450806,1.04591185259947,1.04758399020111,-0.128861979052303,-0.124739379887483,-0.122420976930682
"xi.tT",831.54521038481,830.108198937304,829.247652065516,1.03965744406841,1.04447568450806,1.04591185259947,-0.136138563312414,-0.128861979052302,-0.124739379887483
"xi.tT",832.969427243735,831.54521038481,830.108198937304,1.03165428635172,1.03965744406841,1.04447568450806,-0.146194272530746,-0.136138563312414,-0.128861979052304
"xi.tT",834.653846145551,832.969427243735,831.54521038481,1.02008291431305,1.03165428635172,1.03965744406841,-0.156519928897209,-0.146194272530746,-0.136138563312415
"xi.tT",835.203107582168,834.653846145551,832.969427243735,1.01133219590921,1.02008291431305,1.03165428635172,-0.166053209203117,-0.156519928897212,-0.146194272530749
"xi.tT",836.254137052958,835.203107582168,834.653846145551,1.00225926331624,1.01133219590921,1.02008291431305,-0.175857503537623,-0.166053209203119,-0.156519928897214
"xi.tT",837.289153296799,836.254137052958,835.203107582168,0.992963653438925,1.00225926331624,1.01133219590921,-0.185780887531487,-0.175857503537621,-0.166053209203115
"xi.tT",838.402026797625,837.289153296799,836.254137052958,0.983363169981973,0.992963653438926,1.00225926331624,-0.194905518140913,-0.185780887531489,-0.175857503537623
"xi.tT",838.948298116573,838.402026797625,837.289153296799,0.976305987897697,0.983363169981974,0.992963653438927,-0.203476698930697,-0.194905518140916,-0.185780887531492
"xi.tT",840.003592558771,838.948298116573,838.402026797625,0.968687333903876,0.976305987897696,0.983363169981974,-0.212394377612477,-0.203476698930697,-0.194905518140916
"xi.tT",840.726346804227,840.003592558771,838.948298116573,0.961757051335019,0.968687333903876,0.976305987897696,-0.222797646464914,-0.212394377612479,-0.2034766989307
"xi.tT",842.17265057927,840.726346804227,840.003592558771,0.951470183338162,0.961757051335019,0.968687333903876,-0.23511424179162,-0.222797646464916,-0.21239437761248
"xi.tT",843.388726920281,842.17265057927,840.726346804227,0.939730866201219,0.951470183338162,0.961757051335018,-0.247554853669544,-0.235114241791623,-0.22279764646492
"xi.tT",844.178042409504,843.388726920281,842.17265057927,0.929063878475314,0.939730866201219,0.951470183338162,-0.2593280538025,-0.247554853669541,-0.235114241791625
"xi.tT",844.777731478717,844.178042409504,843.388726920281,0.919881234453747,0.929063878475314,0.939730866201219,-0.271729976722868,-0.2593280538025,-0.247554853669541
"xi.tT",846.1607643249,844.777731478717,844.178042409504,0.908152549388561,0.919881234453748,0.929063878475314,-0.284358060820971,-0.271729976722868,-0.259328053802502
"xi.tT",846.747417810011,846.1607643249,844.777731478717,0.898460690736606,0.908152549388561,0.919881234453747,-0.296177082959059,-0.284358060820974,-0.271729976722869
"xi.tT",847.778801755837,846.747417810011,846.1607643249,0.88862955668715,0.898460690736606,0.908152549388561,-0.306629898060875,-0.296177082959064,-0.284358060820979
"xi.tT",848.19402388061,847.778801755837,846.747417810011,0.882012188849061,0.88862955668715,0.898460690736607,-0.315372239264781,-0.306629898060873,-0.296177082959062
"xi.tT",848.876730826297,848.19402388061,847.778801755837,0.876712106772935,0.882012188849061,0.88862955668715,-0.323480888833108,-0.315372239264785,-0.306629898060875
"xi.tT",849.633675092894,848.876730826297,848.19402388061,0.872054549878567,0.876712106772935,0.882012188849061,-0.331569440629296,-0.323480888833106,-0.315372239264783
"xi.tT",850.878244872626,849.633675092894,848.876730826297,0.866080171664455,0.872054549878567,0.876712106772935,-0.338071126024726,-0.331569440629297,-0.323480888833107
"xi.tT",850.594085132595,850.878244872626,849.633675092894,0.865983610310665,0.866080171664455,0.872054549878567,-0.345088632645043,-0.338071126024731,-0.3315694406293
"xi.tT",852.657942207723,850.594085132595,850.878244872626,0.859104320117204,0.865983610310665,0.866080171664455,-0.353169621583406,-0.345088632645045,-0.338071126024733
"xi.tT",853.116862309369,852.657942207723,850.594085132595,0.855074543047776,0.859104320117204,0.865983610310665,-0.359483287991613,-0.353169621583405,-0.345088632645044
"xi.tT",853.836045549751,853.116862309369,852.657942207723,0.852282031313117,0.855074543047776,0.859104320117204,-0.364544334504284,-0.35948328799161,-0.353169621583404
"xi.tT",854.072487301664,853.836045549751,853.116862309369,0.852438877839115,0.852282031313117,0.855074543047776,-0.370359777436414,-0.364544334504284,-0.35948328799161
"xi.tT",855.219950145378,854.072487301664,853.836045549751,0.849889491206187,0.852438877839115,0.852282031313117,-0.378943317372475,-0.370359777436416,-0.364544334504286
"xi.tT",856.520866758257,855.219950145378,854.072487301664,0.84437514573015,0.849889491206187,0.852438877839115,-0.388922051401711,-0.378943317372474,-0.370359777436417
"xi.tT",856.949718827665,856.520866758257,855.219950145378,0.840407580833393,0.84437514573015,0.849889491206187,-0.40048229157933,-0.388922051401708,-0.378943317372471
"xi.tT",857.854977297945,856.949718827665,856.520866758257,0.834595312942223,0.840407580833393,0.844375145730151,-0.415675276899702,-0.40048229157933,-0.388922051401708
"xi.tT",859.318244846404,857.854977297945,856.949718827665,0.824518357955587,0.834595312942223,0.840407580833393,-0.433132206285299,-0.415675276899698,-0.400482291579327
"xi.tT",860.179998560656,859.318244846404,857.854977297945,0.814519009388791,0.824518357955587,0.834595312942223,-0.449924230782709,-0.433132206285301,-0.415675276899699
"xi.tT",860.255886400462,860.179998560656,859.318244846404,0.808335612395185,0.814519009388792,0.824518357955588,-0.466947101672521,-0.449924230782715,-0.433132206285309
"xi.tT",861.567637861944,860.255886400462,860.179998560656,0.79950625068711,0.808335612395185,0.814519009388791,-0.483921996095105,-0.466947101672514,-0.449924230782708
"xi.tT",861.788418482815,861.567637861944,860.255886400462,0.794241607472455,0.799506250687111,0.808335612395185,-0.499686700412208,-0.483921996095106,-0.466947101672515
"xi.tT",862.872551032077,861.788418482815,861.567637861944,0.788223756997459,0.794241607472455,0.799506250687111,-0.513559444899993,-0.49968670041221,-0.483921996095107
"xi.tT",863.208007558045,862.872551032077,861.788418482815,0.785827298393234,0.78822375699746,0.794241607472455,-0.524470890243585,-0.513559444900001,-0.499686700412225
"xi.tT",864.01351290056,863.208007558045,862.872551032077,0.784665929643573,0.785827298393234,0.78822375699746,-0.53214158475849,-0.524470890243571,-0.513559444899995
"xi.tT",864.016778676267,864.01351290056,863.208007558045,0.78848433794103,0.784665929643573,0.785827298393234,-0.537774984524886,-0.532141584758473,-0.524470890243569
"xi.tT",864.81657569931,864.016778676267,864.01351290056,0.792082661143917,0.78848433794103,0.784665929643573,-0.543795978981236,-0.537774984524879,-0.532141584758472
"xi.tT",865.82479305032,864.81657569931,864.016778676267,0.794462524378203,0.792082661143918,0.78848433794103,-0.549995886733585,-0.543795978981254,-0.537774984524897
"xi.tT",866.445445366849,865.82479305032,864.81657569931,0.797565369455274,0.794462524378203,0.792082661143918,-0.556673486314835,-0.549995886733594,-0.543795978981248
