Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
,5.49349049858439,4.82875892050681,0.00302189689148971,-3.7555729346949,-3.67206185872491,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
,5.68239857429732,4.98979795047465,0.00882293573609144,-3.40755660417142,-3.81097777003148,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
,5.60903629843441,4.92309146234584,0.0113082813075526,-2.64021300950867,-3.77852072757619,,,1.38537984958279,-0.449005546677054,-0.0782618736038613,0.680428511639338,0.0705082114140556,0.453723827317502,0.787611138693696,0.494938257204394,-0.0834032066105542,1.13703514548551,9.07268123089275,1.79379514778503,1.66176568638598,0.936374302905739,,,,,,
,5.59201048477284,4.91071908323073,0.0083502975331388,-1.93102793361038,-3.68120903429734,,,,,,,,,,,,,,,,,,,,,,
,5.43151934616649,4.7678643810229,0.0102899760349513,-1.11659259183455,-3.71704736671658,,,,,,,,,,,,,,,,,,,,,,
,4.905557256224,4.31228553962953,0.00233704029629733,-0.527162450771584,-3.24387353601392,,,,,,,,,,,,,,,,,,,,,,
,4.79267756296068,4.21646773921529,-0.00159444633291408,-0.191603261291448,-3.02706343023294,,,,,,,,,,,,,,,,,,,,,,
,4.33007227022059,3.82474362173268,-0.0187956501609891,-0.0544639079442959,-2.50767599927341,,,,,,,,,,,,,,,,,,,,,,
,4.31426141095542,3.80605737655307,-0.0133595919197807,0.154363773888349,-2.45627416998939,,,,,,,,,,,,,,,,,,,,,,
,4.27947896454027,3.77284748280488,-0.0103812219654039,0.428062415048657,-2.41454849976309,,,,,,,,,,,,,,,,,,,,,,
,4.61398029265514,4.05836866206312,-0.000527509447620002,0.862670585695014,-2.37255623817059,,,,,,,,,,,,,,,,,,,,,,
,4.33862402208235,3.81348626635736,0.00255611040772923,1.27962861044466,-2.30090130420201,,,,,,,,,,,,,,,,,,,,,,
,4.65295640993078,4.08703187928693,0.00585752246186395,1.54206082210203,-2.70396906599107,,,,,,,,,,,,,,,,,,,,,,
,4.56295074560751,4.0224370420831,-0.0107015417437362,1.73971712002503,-2.53789308046429,,,,,,,,,,,,,,,,,,,,,,
,4.6648855664282,4.11837540073935,-0.0178520065153924,1.91861937162253,-2.53350618934697,,,,,,,,,,,,,,,,,,,,,,
,4.39757917047756,3.89944016150402,-0.036221340870188,1.88863257472906,-1.81630942091474,,,,,,,,,,,,,,,,,,,,,,
,4.79628776522975,4.23314822700295,-0.0169505449222574,2.18302590694486,-1.88812261806456,,,,,,,,,,,,,,,,,,,,,,
,4.76581379361744,4.21469137211996,-0.0264384238574815,2.40591325193282,-1.76176934254713,,,,,,,,,,,,,,,,,,,,,,
,5.03506630616256,4.44917563872716,-0.0238027635081532,2.68392595509567,-2.06376814588327,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
,5.26658930231889,4.64904403656269,-0.0195371601626976,3.10916138948869,-2.27962827030145,,,lambda_g,0.0727695468253305,,,-587.789350149929,,,,,,,,,,,,,,,
