Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
,6.21457910307471,5.17802700090684,0.0110757263961074,-4.03052914541502,-4.39315046321523,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
,6.60711353848806,5.4969644700086,0.0215090900739148,-3.92851427894334,-4.73569273422222,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
,6.42537759088911,5.3442515247914,0.022729946514701,-3.16162078898515,-4.59486202003089,,,1.53011210500796,-0.588798124982918,-0.0674078227290001,0.672750705677671,0.075529306790929,0.343593588333772,0.793546364286061,0.568051019289851,0,1.19804384480656,0.941313980025041,,,,,,,,,
,6.23611019531054,5.19195374588756,0.0159219675295936,-2.34700475236059,-4.32530874483504,,,,,,,,,,,,,,,,,,,,,,
,5.90635586484349,4.91793338577679,0.0144560428449327,-1.34399598562254,-4.19188388539358,,,,,,,,,,,,,,,,,,,,,,
,5.21924744200026,4.35729152831748,-0.000978853528263992,-0.524326680962304,-3.55756372179018,,,,,,,,,,,,,,,,,,,,,,
,5.01726526549912,4.19542544857911,-0.00903836951587697,-0.0411259431416511,-3.25165113277138,,,,,,,,,,,,,,,,,,,,,,
,4.48565753732186,3.77466193989408,-0.0365529659938289,0.222570352816888,-2.66326126637468,,,,,,,,,,,,,,,,,,,,,,
,4.44985081779501,3.74019540042648,-0.0310672600597389,0.496927399014908,-2.59186357682898,,,,,,,,,,,,,,,,,,,,,,
,4.41849093788881,3.71156686912914,-0.02812890425931,0.784028666122708,-2.55356047311163,,,,,,,,,,,,,,,,,,,,,,
,4.76369893248399,3.98541222141981,-0.0109996484048514,1.19340966702248,-2.52227487799944,,,,,,,,,,,,,,,,,,,,,,
,4.50328882629554,3.76839421651907,-0.0114126696097652,1.62075781765338,-2.4655661084152,,,,,,,,,,,,,,,,,,,,,,
,4.80194434916031,4.01084122685996,-0.0032192951756508,1.89850402382399,-2.8529570052206,,,,,,,,,,,,,,,,,,,,,,
,4.70855559455533,3.95351150692691,-0.0279245316903655,2.0927604958664,-2.68349792941211,,,,,,,,,,,,,,,,,,,,,,
,4.79813346578636,4.03612484752214,-0.0373210646583553,2.28257069714175,-2.66675408870513,,,,,,,,,,,,,,,,,,,,,,
,4.52784764627063,3.83703751955177,-0.0690915363201944,2.27913952585163,-1.94657789670781,,,,,,,,,,,,,,,,,,,,,,
,4.92234770835435,4.13901117823815,-0.0363691573194009,2.55194329243773,-2.01418256118916,,,,,,,,,,,,,,,,,,,,,,
,4.90391968414112,4.13542791502224,-0.0505042750924986,2.73500879831283,-1.89987523307081,,,,,,,,,,,,,,,,,,,,,,
,5.16510393737601,4.34697433564779,-0.0427619089788997,2.98743923217251,-2.19380577709672,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
,5.39949319409495,4.53443625939841,-0.0329602561450033,3.36499174864753,-2.4125321620775,,,lambda_g,0.0531243352221735,,,-538.22303016793,,,,,,,,,,,,,,,
,5.65796879807678,4.71822950793606,0.00532297770931302,3.9227872211643,-2.38017481221281,,,lambda_z,0.0307648649002471,,,,,,,,,,,,,,,,,,
,5.42958663220296,4.49188984983895,0.0481056460543463,4.27747869463747,-2.26935124502949,,,,,,,,,,,,,,,,,,,,,,
