Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
,4.69866761370015,4.19929038611179,-0.0760732687136997,-3.35696426363711,-3.6720619756827,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
,4.68072957126542,4.18973002486442,-0.0831408441167982,-2.88608913284759,-3.81097788006785,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
,4.65860395570763,4.17704573223019,-0.0908439727693101,-2.13000923726952,-3.77852083558897,,,1.38537984511496,-0.449005541969022,-0.0782618738918134,0.680428511600718,0.0705082106856784,0.453723828726389,0.787611138891984,0.49493825522553,-0.0834032042929012,1.13703517580142,9.0726814496891,1.79379514477779,1.66176565247992,0.936374303145938,,,,,,
,4.63355589018441,4.1619000618013,-0.0986708782537835,-1.33869795762212,-3.68120914272539,,,,,,,,,,,,,,,,,,,,,,
,4.60887826885611,4.14608539844879,-0.105366671056821,-0.731102919247974,-3.71704747478359,,,,,,,,,,,,,,,,,,,,,,
,4.59614589098992,4.13940326221757,-0.110501224978613,-0.558708667987048,-3.24387363530357,,,,,,,,,,,,,,,,,,,,,,
,4.58776092458712,4.13482153867835,-0.113676610551529,-0.426267623914441,-3.02706352764016,,,,,,,,,,,,,,,,,,,,,,
,4.59633177048713,4.14367940351607,-0.115177468554495,-0.627802581112405,-2.50767608703999,,,,,,,,,,,,,,,,,,,,,,
,4.6066273298798,4.15363760145171,-0.116204730502244,-0.563075821890266,-2.45627425773263,,,,,,,,,,,,,,,,,,,,,,
,4.61874787798822,4.16561962832657,-0.117708168427944,-0.352904496655697,-2.41454858691966,,,,,,,,,,,,,,,,,,,,,,
,4.61839530835094,4.1663605197677,-0.118903157695239,0.225533693064222,-2.37255633268263,,,,,,,,,,,,,,,,,,,,,,
,4.62999193808811,4.17744986156102,-0.119915499653564,0.311709882230616,-2.30090139365299,,,,,,,,,,,,,,,,,,,,,,
,4.6278987424633,4.17673768871587,-0.121198929702181,0.817681682330431,-2.70396916256917,,,,,,,,,,,,,,,,,,,,,,
,4.63084802774394,4.18002358012572,-0.121985818538404,1.00634715489639,-2.53789317523197,,,,,,,,,,,,,,,,,,,,,,
,4.62992289807145,4.17911423933615,-0.121876995746368,1.24360020143922,-2.53350628671556,,,,,,,,,,,,,,,,,,,,,,
,4.6421384089296,4.19033596080443,-0.122420976930682,1.13088010845706,-1.81630951254834,,,,,,,,,,,,,,,,,,,,,,
,4.63221488888546,4.1836474103979,-0.124739379887483,1.76715908990298,-1.88812271907868,,,,,,,,,,,,,,,,,,,,,,
,4.62156039516742,4.17790273803223,-0.128861979052303,2.16199742816843,-1.76176944322189,,,,,,,,,,,,,,,,,,,,,,
,4.59236977544593,4.15862977627365,-0.136138563312414,2.92388431438155,-2.06376825328884,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
,4.54591457886213,4.12661714540687,-0.146194272530746,3.77756569901806,-2.27962838365476,,,lambda_g,0.0727695466617842,,,-587.789350155656,,,,,,,,,,,,,,,
,4.48296069433467,4.08033165725221,-0.156519928897209,4.49822039598666,-2.23503162396881,,,lambda_z,0.0206092077053792,,,,,,,,,,,,,,,,,,
,4.43362791547396,4.04532878363684,-0.166053209203117,4.28997878715018,-2.08286003258926,,,,,,,,,,,,,,,,,,,,,,
,4.38255864711592,4.00903705326496,-0.175857503537623,4.08228824739308,-2.04846849364935,,,,,,,,,,,,,,,,,,,,,,
,4.33035752147792,3.9718546137557,-0.185780887531487,3.86433206680363,-2.3953212857824,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
,4.27756854128748,3.93345267992789,-0.194905518140913,3.63311313161012,-3.19279609998864,,,Initial State Vector,,,,,,,,,,,,,,,,,,,
,4.23690030341026,3.90522395159079,-0.203476698930697,3.14812084585083,-3.6862738283608,,,811.27211881791,810.111452336212,808.950880590638,1.16066648169806,1.16057174557351,1.16052441634675,0,0,0,,,,,,,,,,,
,4.19333191439555,3.8747493356155,-0.212394377612477,3.03449962884235,-3.89299191039424,,,,,,,,,,,,,,,,,,,,,,
,4.15140874530697,3.84702820534008,-0.222797646464914,3.06293401094774,-3.65998522905651,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
,4.09230602693526,3.80588073335265,-0.23511424179162,3.63561794552595,-3.82496952659356,,,0.643139873993012,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
,4.02647334895896,3.75892346480488,-0.247554853669544,4.07653684825391,-3.10555485327335,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
,3.96618518776922,3.71625551390126,-0.2593280538025,4.0591896649554,-3.20834662700367,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
,3.91201930781132,3.67952493781499,-0.271729976722868,3.85204915585223,-3.22939866558063,,,0.2,0,0,0.201287524571602,0.2,0,0,0,0,,,,,,,,,,,
,3.84604751377316,3.63261019755424,-0.284358060820971,4.02201020063831,-2.62220329607621,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
,3.7901485548104,3.59384276294642,-0.296177082959059,3.73889090471118,-0.518180752161346,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
,3.73498235877958,3.5545182267486,-0.306629898060875,3.36584932736571,0.213596377050151,,,0,0,0,0,0,0,0.214321413574167,0.2,0,,,,,,,,,,,
,3.69614329756318,3.52804875539624,-0.315372239264781,2.4617395042759,0.448272782117487,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
,3.66392912897409,3.50684842709174,-0.323480888833108,1.63045153038513,0.177686827247203,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
,3.63465735308913,3.48821819951427,-0.331569440629296,1.01533663940108,-0.420440007992964,,,,,,,,,,,,,,,,,,,,,,
,3.60098335496175,3.46432068665782,-0.338071126024726,0.688097318905193,-1.7369785956161,,,,,,,,,,,,,,,,,,,,,,
,3.59352667371791,3.46393444124266,-0.345088632645043,-0.105164443388276,-2.77136893044458,,,,,,,,,,,,,,,,,,,,,,
,3.5541577050415,3.43641728046882,-0.353169621583406,0.510742700108381,-5.25812909415174,,,,,,,,,,,,,,,,,,,,,,
,3.52951604551898,3.4202981721911,-0.359483287991613,0.591483883677142,-4.25670963376661,,,,,,,,,,,,,,,,,,,,,,
,3.51175426272173,3.40912812525247,-0.364544334504284,0.691899819459309,-2.96033688272416,,,,,,,,,,,,,,,,,,,,,,
,3.50665217985865,3.40975551135646,-0.370359777436414,0.690964372442295,-2.58845635421925,,,,,,,,,,,,,,,,,,,,,,
,3.48647367080916,3.39955796482475,-0.378943317372475,1.36575604428924,-3.79463108422019,,,,,,,,,,,,,,,,,,,,,,
,3.45141491766882,3.3775005829206,-0.388922051401711,2.30923572111647,-2.70902587036239,,,,,,,,,,,,,,,,,,,,,,
,3.42180963409165,3.36163032333357,-0.40048229157933,2.82033413171928,-1.91233726769992,,,,,,,,,,,,,,,,,,,,,,
,3.38018163659752,3.33838125176889,-0.415675276899702,3.575669895028,-1.63673492651766,,,,,,,,,,,,,,,,,,,,,,
,3.31689329807283,3.29807343182235,-0.433132206285299,4.55708143976653,-0.189120902708054,,,,,,,,,,,,,,,,,,,,,,
,3.25462282935323,3.25807603755516,-0.449924230782709,4.77810698545488,0.446674862950951,,,,,,,,,,,,,,,,,,,,,,
,3.20947699891272,3.23334244958074,-0.466947101672521,4.17493289555739,3.22944090561806,,,,,,,,,,,,,,,,,,,,,,
,3.15234492512232,3.19802500274844,-0.483921996095105,3.80792072906752,1.63027505888395,,,,,,,,,,,,,,,,,,,,,,
,3.11263588271278,3.17696642988982,-0.499686700412208,2.72365016682079,0.110680290043285,,,,,,,,,,,,,,,,,,,,,,
,3.07139310753387,3.15289502798984,-0.513559444899993,1.87691882511695,0.941488648570245,,,,,,,,,,,,,,,,,,,,,,
,3.04958223126885,3.14330919357294,-0.524470890243585,0.59182470244923,0.57910734830943,,,,,,,,,,,,,,,,,,,,,,
,3.03662946827218,3.13866371857429,-0.53214158475849,-0.602576644036276,-3.42785637681362,,,,,,,,,,,,,,,,,,,,,,
