Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations
1960-01-01,8.16541509546592,2.05261403865281,4.13868168856417,1.25953129633891,2.08606764991136
1960-04-01,8.16001697900631,2.08359688477398,4.01693734066497,1.51899740519761,1.933340455891
1960-07-01,8.16490432882994,1.66979270171545,3.32801217594954,1.55882459527092,1.65821947423409
1960-10-01,8.15198998500562,1.67663160098057,3.08826730421132,1.30918951611556,1.41163570323075
1961-01-01,8.158717484219,1.82068382688321,3.08826730421132,0.683322392728366,1.26758347732811
1961-04-01,8.17555350650173,1.87202013129084,3.08826730421132,1.31365218756709,1.21624717292048
1961-07-01,8.19457510137889,1.82955248159688,3.08826730421132,1.72869519404676,1.25871482261444
1961-10-01,8.21400186991568,1.91590385011066,3.08826730421132,0.963784042060444,1.17236345410066
1962-01-01,8.23168129575973,1.71667181362116,3.08826730421132,1.48025053868638,1.37159549059017
1962-04-01,8.2406881558519,1.66146398036654,3.08826730421132,1.53448352058553,1.42680332384478
1962-07-01,8.25290884477019,1.76680737350748,3.08826730421132,1.30732162148299,1.32145993070384
1962-10-01,8.25619745009363,1.81942585333073,3.08826730421132,0.753310122767461,1.26884145088059
1963-01-01,8.26705915191659,1.85944285626249,3.08826730421132,1.32018252695936,1.22882444794884
1963-04-01,8.27822077195644,1.86459193097443,3.08826730421132,1.51388722173777,1.2236753732369
1963-07-01,8.29997082523418,2.24056582366558,3.52016272086786,1.5310077173445,1.27959689720227
1963-10-01,8.30650845573819,2.03807190056015,3.61214702120936,1.9312230165552,1.57407512064921
1964-01-01,8.32737633491249,1.94606990096705,3.61214702120936,1.68819052533176,1.66607712024231
1964-04-01,8.33820814228493,2.02760752310599,3.61214702120936,1.187736733182,1.58453949810337
1964-07-01,8.35371332978279,2.13367497748834,3.61214702120936,1.10673789981509,1.47847204372101
1964-10-01,8.35680047052232,2.5789904644936,3.83045027850397,1.02317409771266,1.25145981401038
1965-01-01,8.38071139348044,2.9087810981959,4.11393354281484,1.50296104776602,1.20515244461894
1965-04-01,8.39326694985088,3.00348164306426,4.22340672758386,1.24682729278462,1.2199250845196
1965-07-01,8.41525503502269,2.97000968203184,4.22030338822723,1.22821238651828,1.25029370619539
1965-10-01,8.43803266117641,2.98733239490642,4.31555186751478,1.33487716336452,1.32821947260836
1966-01-01,8.46207955617912,3.27991873356535,4.73015341551317,1.99102188512387,1.45023468194782
1966-04-01,8.46548844397243,3.15669357510153,5.10722738097908,3.24802378850355,1.95053380587755
1966-07-01,8.47392111456069,3.17568438128371,5.63804232682092,3.27550894515694,2.46235794553722
1966-10-01,8.48209167869588,2.80795186407423,5.79996368504172,3.45349266508561,2.99201182096749
1967-01-01,8.49091061049586,1.96278125349023,5.00526084211861,2.19289295576741,3.04247958862838
1967-04-01,8.49152393706652,1.22963705865037,4.12754487708111,2.669736707713,2.89790781843074
1967-07-01,8.50094022461429,1.04577958351898,4.02502276010723,3.60085037778697,2.97924317658825
1967-10-01,8.50845048509096,1.19917326671674,4.32233401790263,4.02916296347616,3.12316075118589
1968-01-01,8.5286380484729,1.26944606072897,4.97792157761681,4.53415201857521,3.70847551688784
1968-04-01,8.54520380554153,2.05743760243723,6.25530345724659,4.62729805939907,4.19786585480936
1968-07-01,8.55291915118027,1.81123141746961,6.21614948129967,4.42905921386978,4.40491806383006
1968-10-01,8.55683919873452,1.62423836955412,6.18303330052348,4.64467043203335,4.55879493096936
1969-01-01,8.57236239475486,2.36862612501108,6.88229431351561,4.35364504871592,4.51366818850453
1969-04-01,8.57539134232,4.26655268502678,8.81202109932386,4.75449896256929,4.54546841429709
1969-07-01,8.58196918435515,4.95138832336287,9.53251867643343,4.5717069689637,4.58113035307057
1969-10-01,8.57707513751732,4.89617130976885,9.48751405496477,4.68552000053477,4.59134274519592
1970-01-01,8.57558511084194,4.47950399555122,9.06526949523405,4.33133606666358,4.58576549968284
1970-04-01,8.57700129173441,3.80186883712859,8.32440992256143,4.50160130556928,4.52254108543283
1970-07-01,8.58617376949429,2.55889627132556,7.04056891550984,4.40823320396949,4.48167264418428
1970-10-01,8.57540021083269,1.09628731177463,5.80544304768018,5.59545236741983,4.70915573590555
1971-01-01,8.60219937601735,-0.89236938040925,3.99227211201898,5.03327909275431,4.88464149242823
1971-04-01,8.60759297127949,-0.15489695931396,4.73938644601943,4.54016895718993,4.89428340533339
1971-07-01,8.61578380289798,0.980040019520734,5.708488493316,3.74489347781698,4.72844847379527
1971-10-01,8.61812969555017,1.03063775392398,4.93164107518056,2.28567175726509,3.90100332125658
1972-01-01,8.63633512557391,0.0705384834584315,3.66687508998653,3.8146122338404,3.5963366065281
1972-04-01,8.65877434758329,1.31950806697838,4.45553334357642,2.6989236374697,3.13602527659804
1972-07-01,8.66817095715691,1.9793754444808,4.92493503923246,2.98303075043144,2.94555959475166
1972-10-01,8.68477667438493,2.35396506787516,5.35730599422781,2.51679708366906,3.00334092635265
