Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations,core.inflation.q
1956-04-01,11.6908624234464,-0.602642924525858,5.73434990888551,6.98060391766396,6.33699283341136,
1956-07-01,11.6898742810735,1.19082810732604,5.73434990888551,0.899956887977703,4.54352180155947,
1956-10-01,11.6943382756461,2.5108048820966,5.73434990888551,2.03586347956099,3.22354502678891,
1957-01-01,11.7141505521834,1.63795376709836,5.38122380772457,5.05665587730216,3.7432700406262,
1957-04-01,11.7142568512191,2.89744151201232,5.19976961302411,1.2168361592063,2.30232810101179,
1957-07-01,11.7081056606408,1.86447199949355,5.91672364151494,7.8996510520161,4.05225164202139,
1957-10-01,11.7099221467749,2.96526041551926,7.35439979799275,3.38341444136938,4.38913938247349,
1958-01-01,11.7313458798153,3.46046347081084,6.99587804940967,1.6417566618035,3.53541457859882,
1958-04-01,11.7078341372697,1.33308855262669,5.73434990888551,4.68022326984627,4.40126135625881,
1958-07-01,11.7296242936004,2.95095404029016,4.84842400450516,-2.11551451615915,1.897469964215,
1958-10-01,11.7307830702552,2.32653221333741,4.31831065529416,3.76064835233634,1.99177844195674,
1959-01-01,11.7372123624151,2.03646754203191,4.13868168856417,2.08349948010557,2.10221414653226,
1959-04-01,11.7536574293106,4.50642257470714,4.13868168856417,-5.19959686085464,-0.367740886142968,
1959-07-01,11.7748973447726,3.59949357539581,4.13868168856417,1.51220148108616,0.53918811316836,
1959-10-01,11.8001849481437,4.09668523288431,4.13868168856417,1.77188172238234,0.0419964556798597,
1960-01-01,11.8248049054478,5.62863630454943,5.19976961302411,0.200046891284826,-0.428866691525327,
1960-04-01,11.8171179867365,4.50891561252796,5.55228933937932,0.689364812652119,1.04337372685136,
1960-07-01,11.8321352738263,4.79061375433471,6.27163923329812,3.26280848953435,1.48102547896341,
1960-10-01,11.8380911657937,3.65877304964351,5.55228933937932,3.42184496547196,1.89351628973581,
1961-01-01,11.8543994576425,2.82539536946603,5.19976961302411,2.12347870657388,2.37437424355808,
1961-04-01,11.858463624498,2.29181006236046,5.19976961302411,2.82370604107439,2.90795955066365,
1961-07-01,11.8533541502306,3.3131964732981,7.35439979799275,7.79578358565838,4.04120332469465,
1961-10-01,11.8516166664384,2.23945133114314,6.45493715082652,4.11897494542688,4.21548581968338,
1962-01-01,11.8560966420737,1.28821954129265,5.91672364151494,3.77555182872952,4.62850410022229,
1962-04-01,11.8653132320853,-0.742619733885735,4.66788472403135,5.95170747185353,5.41050445791708,
1962-07-01,11.8715574925708,0.914770702706418,4.66788472403135,1.16622183928977,3.75311402132493,
1962-10-01,11.8676094282216,1.989669032668,4.66788472403135,-0.180618374419434,2.67821569136335,
1963-01-01,11.8717949990335,1.03765956540953,4.13868168856417,5.46677755589468,3.10102212315464,
