Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations
1971-01-01,13.8746649356405,1.7130403212939,6.82994948040287,6.29429893504555,5.11690915910897
1971-04-01,13.8873937399888,0.541814712594228,6.20555413981709,6.28745717614312,5.66373942722287
1971-07-01,13.9028692793795,0.610575771720427,6.51561616679959,5.73813256729658,5.90504039507916
1971-10-01,13.9107915264071,0.118703086525635,6.27791283606167,6.3169503196589,6.15920974953604
1972-01-01,13.9255009394565,-0.782881831880275,5.2494793555971,5.7869046868109,6.03236118747737
1972-04-01,13.9322118222515,-0.830483556204322,4.93740363497179,5.22956119093809,5.76788719117611
1972-07-01,13.9457928681441,-1.308472003554,5.04773038735815,8.09139336624073,6.35620239091215
1972-10-01,13.9603250203732,-0.199861329628716,6.69785237117395,8.48299555922096,6.89771370080267
1973-01-01,13.9793944659598,-0.176323564486459,7.12759112778667,7.41170865269274,7.30391469227313
1973-04-01,13.9914464977459,0.727932290858844,8.98310982210064,9.03461254681277,8.2551775312418
1973-07-01,14.005085555092,2.39104266606176,10.9063030806305,9.13172489954828,8.51526041456869
1973-10-01,14.0159523964343,2.78606185886078,11.8901703467311,10.8383878524276,9.10410848787035
1974-01-01,14.0258045465808,1.67714647312529,12.0540340775194,12.5028251187878,10.3768876043941
1974-04-01,14.0276123817164,1.07144619980568,12.3252828200997,12.5424086104126,11.2538366202941
1974-07-01,14.0344016947643,0.253895494237561,12.3920923289741,12.6691657573183,12.1381968347366
1974-10-01,14.0183391763587,-1.32806297633945,11.4117184377553,13.2447261698601,12.7397814140947
1975-01-01,14.0089621274091,-1.61270385307132,9.34661136070132,5.3809603174995,10.9593152137726
1975-04-01,14.0141120724113,-2.64550612511121,7.41461030315249,8.94561346837686,10.0601164282637
1975-07-01,14.0230052695745,-2.2257482900611,6.68426864545801,8.06876778633996,8.91001693551911
1975-10-01,14.033516693843,-0.668141462782462,6.91875138017726,7.95222979962255,7.58689284295972
1976-01-01,14.0497121331226,-1.28849411507897,7.35524181821468,9.60833267883522,8.64373593329365
1976-04-01,14.0624903436974,-0.0760322573467533,9.07415498177109,10.9714186916736,9.15018723911784
1976-07-01,14.0708732224218,0.879635885119153,9.94070581731741,7.71229855866161,9.06106993219825
1976-10-01,14.0868071805231,-0.0909591768322819,9.78167269338355,11.1984775516929,9.87263187021583
1977-01-01,14.090921062749,1.0249375091978,10.9099361597965,9.65779980036671,9.8849986505987
1977-04-01,14.0922675290678,0.483471607620235,9.96670044109542,9.36433942317957,9.48322883347519
1977-07-01,14.0930530594355,-0.289614841895403,9.55135307613071,9.14325489686531,9.84096791802611
1977-10-01,14.1049434304176,0.859931264532175,9.69733786528055,7.18423228258192,8.83740660074838
1978-01-01,14.111353146181,0.582106786003504,8.51093361559792,6.02348071575085,7.92882682959441
1978-04-01,14.1226985152155,0.823043417379737,8.34856231221115,7.75110768412757,7.52551889483141
1978-07-01,14.1273710249673,2.66445529880882,9.74433766911287,7.36070879875586,7.07988237030405
1978-10-01,14.1392097447419,2.76864502620915,9.70501404516255,6.61017887717932,6.9363690189534
1979-01-01,14.1443042781111,0.666230288795313,8.11561048579912,8.07552542795247,7.44938019700381
1979-04-01,14.1601970974921,2.27642612525922,9.94290891153502,8.61951804121555,7.6664827862758
1979-07-01,14.1652854267312,3.38477312701465,11.8215981815773,10.4420778719034,8.43682505456268
1979-10-01,14.1747388278044,4.32438648635561,13.732299632716,10.4945312443703,9.40791314636041
